"","species","type","model","cpo","waic","loglik"
<<<<<<< HEAD
"1","A. aeg","Occurrence","Nonspatial",0,117.46084,-77.72244
"2","A. aeg","Occurrence","Randint",51.89,110.74863,-78.31864
"3","A. aeg","Occurrence","Spatial",19.19,53.92443,-52.53921
"4","A. aeg","Occurrence","Temporal",9.71,71.03513,-56.08698
"5","A. aeg","Occurrence","Spatiotemporal",20.67,54.44469,-53.01283
"6","A. aeg","Abundance","Nonspatial",0.58,166.22147,-106.60356
"7","A. aeg","Abundance","Randint",0.48,166.35063,-107.01959
"8","A. aeg","Abundance","Spatial",0.12,152.88458,-103.70188
"9","A. aeg","Abundance","Temporal",0.18,152.8855,-103.06047
"10","A. aeg","Abundance","Spatiotemporal",0.28,152.5193,-102.92968
"11","A. albo","Occurrence","Nonspatial",0,129.57236,-84.38634
"12","A. albo","Occurrence","Randint",0.2,127.44637,-84.36917
"13","A. albo","Occurrence","Spatial",0.32,103.26182,-74.23442
"14","A. albo","Occurrence","Temporal",0.01,113.38131,-76.71915
"15","A. albo","Occurrence","Spatiotemporal",0.3,101.47878,-75.38092
"16","A. albo","Abundance","Nonspatial",2.49,670.92931,-421.29564
"17","A. albo","Abundance","Randint",6.85,615.85619,-374.55047
"18","A. albo","Abundance","Spatial",2.53,610.13437,-343.73195
"19","A. albo","Abundance","Temporal",3.03,613.87154,-342.69302
"20","A. albo","Abundance","Spatiotemporal",2.35,601.53539,-340.9152
"21","A. crucians","Occurrence","Nonspatial",0,133.97513,-86.48228
"22","A. crucians","Occurrence","Randint",70.37,92.3177,-87.29641
"23","A. crucians","Occurrence","Spatial",11.31,55.97558,-47.52945
"24","A. crucians","Occurrence","Temporal",26.78,Inf,-45.19182
"25","A. crucians","Occurrence","Spatiotemporal",32.42,46.61922,-45.83549
"26","A. crucians","Abundance","Nonspatial",2.31,38.0677,-30.82192
"27","A. crucians","Abundance","Randint",2.34,38.2153,-29.57738
"28","A. crucians","Abundance","Spatial",2.09,37.10123,-28.94891
"29","A. crucians","Abundance","Temporal",1.62,38.5454,-32.35176
"30","A. crucians","Abundance","Spatiotemporal",2.02,37.36262,-31.96408
"31","Cx. nigripalpus","Occurrence","Nonspatial",1,134.86715,-86.92307
"32","Cx. nigripalpus","Occurrence","Randint",53.02,67.21398,-87.28324
"33","Cx. nigripalpus","Occurrence","Spatial",3.16,Inf,-112.96297
"34","Cx. nigripalpus","Occurrence","Temporal",85.21,11.04981,-23.80191
"35","Cx. nigripalpus","Occurrence","Spatiotemporal",3.19,Inf,-10.67554
"36","Cx. nigripalpus","Abundance","Nonspatial",NA,NA,NA
"37","Cx. nigripalpus","Abundance","Randint",NA,NA,NA
"38","Cx. nigripalpus","Abundance","Spatial",1,0,23.43465
"39","Cx. nigripalpus","Abundance","Temporal",NA,NA,NA
"40","Cx. nigripalpus","Abundance","Spatiotemporal",1,0,23.44683
"41","Cx. quinq","Occurrence","Nonspatial",0,118.60504,-74.2854
"42","Cx. quinq","Occurrence","Randint",0,118.61316,-74.28691
