"","MosqPerL","WayPt_ID","LongX","LatY","Adj_X","Adj_Y","Day","Month","EpiWeek","INLAWeek","MosqCount","DispX","DispY","Neighborhood","MosqSpp","Date","Year","NSampledTires","veg_in_tire","chir","cer","tox","tris","noto","oligo","mites","dyticid","cop","ostra","daph","cpm","fpm","NDVI","comments","Open.Water","Developed.Open.Space","Developed.Low.Intensity","Developed.Medium.Intensity","Developed.High.Intensity","Woody.Wetlands","Emergent.Herbaceous.Wetlands","optional","org_debris","inorg_debris","veg_cover"
"1",0,"1",-90.005592,29.970221,788.956272281013,3319.25975615266,7,3,10,1,0,NA,NA,"Lower Ninth","A. aeg",2018-03-07,2018,34,"0",0,3,0,0,0,0,0,0,"0","0","0",0,0,0.294714,NA,0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,13,0,36.56
"2",0,"1",-90.005592,29.970221,788.956275178597,3319.2596452687,7,3,10,1,0,1899-12-31 00:00:00,NA,"Lower Ninth","A. aeg",2018-03-07,2018,34,"0",5,4,0,0,0,0,0,0,"0","1","0",0,0.5,0.294714,NA,0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,4.8,0,17.1432
"3",0,"1",-90.005592,29.970221,788.956269383429,3319.25986703662,7,3,10,1,0,1899-12-31 00:00:01,NA,"Lower Ninth","A. aeg",2018-03-07,2018,34,"1",6,9,0,0,0,0,0,0,"0","1","0",0,0,0.294714,"vegetation in tire",0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,6.1,0,100
"4",0,"1",-90.005592,29.970221,788.956368823963,3319.25975867549,7,3,10,1,0,NA,1899-12-31 00:00:01,"Lower Ninth","A. albo",2018-03-07,2018,34,"0",0,3,0,0,0,0,0,0,"0","0","0",0,0,0.294714,NA,0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,13,0,36.56
"5",17,"1",-90.005592,29.970221,788.956175738065,3319.25975362983,7,3,10,1,18,NA,1899-12-31 00:00:00,"Lower Ninth","A. albo",2018-03-07,2018,34,"0",5,4,0,0,0,0,0,0,"0","1","0",0,0.5,0.294714,NA,0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,4.8,0,17.1432
"6",0,"1",-90.005592,29.970221,788.956172840482,3319.25986451379,7,3,10,1,0,1899-12-31 00:00:01,1899-12-31 00:00:00,"Lower Ninth","A. albo",2018-03-07,2018,34,"1",6,9,0,0,0,0,0,0,"0","1","0",0,0,0.294714,"vegetation in tire",0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,6.1,0,100
"7",0,"1",-90.005592,29.970221,788.956371721548,3319.25964779153,7,3,10,1,0,1899-12-31 00:00:00,1899-12-31 00:00:01,"Lower Ninth","Cx. salinarius",2018-03-07,2018,34,"0",0,3,0,0,0,0,0,0,"0","0","0",0,0,0.294714,NA,0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,13,0,36.56
"8",0,"1",-90.005592,29.970221,788.956178635648,3319.25964274587,7,3,10,1,0,1899-12-31 00:00:00,1899-12-31 00:00:00,"Lower Ninth","Cx. salinarius",2018-03-07,2018,34,"0",5,4,0,0,0,0,0,0,"0","1","0",0,0.5,0.294714,NA,0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,4.8,0,17.1432
"9",0,"1",-90.005592,29.970221,788.956365926378,3319.25986955945,7,3,10,1,0,1899-12-31 00:00:01,1899-12-31 00:00:01,"Lower Ninth","Cx. salinarius",2018-03-07,2018,34,"1",6,9,0,0,0,0,0,0,"0","1","0",0,0,0.294714,"vegetation in tire",0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,6.1,0,100
"10",0,"1",-90.005592,29.970221,788.956465366912,3319.25976119832,7,3,10,1,0,NA,1899-12-31 00:00:01,"Lower Ninth","Cx. quinq",2018-03-07,2018,34,"0",0,3,0,0,0,0,0,0,"0","0","0",0,0,0.294714,NA,0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,13,0,36.56
"11",1,"1",-90.005592,29.970221,788.956079195115,3319.259751107,7,3,10,1,1,NA,1899-12-31 00:00:00,"Lower Ninth","Cx. quinq",2018-03-07,2018,34,"0",5,4,0,0,0,0,0,0,"0","1","0",0,0.5,0.294714,NA,0.12125219339456,0.0492027506568594,0.275162981111578,0.154626984960931,0.0232764104271897,0.0310113406614558,0.0416826795957674,TRUE,4.8,0,17.1432
