"","MosqPerL","WayPt_ID","Address","LatY","LongX","DispX","DispY","Neighborhood","MosqSpp","MosqCount","Date","Day","Month","Year","EpiWeek","Sampledtire","NSampledTires","water_L","no_cover","open.","w_cover","veg_cover.","veg_in_tire","chir","cer","tox","tris","noto","oligo","mites","dyticid","cop","ostra","daph","rubber","inverts","seeds","sticks","man.made","cpm","fpm","leaf","rocks","algae_moss","shells","grass","comments","Buffer","Area_km2","Open.Water","Developed.Open.Space","Developed.Low.Intensity","Developed.Medium.Intensity","Developed.High.Intensity","Barren.Land","Deciduous.Forest","Shrub.Scrub","Grassland.Herbaceous","Pasture.Hay","Cultivated.Crops","Woody.Wetlands","Emergent.Herbaceous.Wetlands","PovPast12M","Unemp","Employed","NoSchool","SomeColleg","AssDegree","Bachelors","Masters","ProfDegree","PhD","Rented_Unocupied","SoldUnocup","OtherVacan","Adj_X","Adj_Y","optional","INLAWeek"
"1",0,"1","St. Maurice / N Miro",29.970221,-90.005592,NA,NA,"Lower Ninth","A. aeg",0,2018-03-07,7,3,2018,10,1,34,1.33,61,63.44,35,36.56,"n",0,3,0,0,0,0,0,0,"n","n","n",0,0.1,1.4,0,0,0,0,11.5,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956272281013,3319.25975615266,TRUE,1
"2",0,"1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:00,NA,"Lower Ninth","A. aeg",0,2018-03-07,7,3,2018,10,2,34,1.09,79.67,82.8568,16.33,17.1432,"n",5,4,0,0,0,0,0,0,"n","y","n",0,0.1,0.7,0,0,0,0.5,4,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956275178597,3319.2596452687,TRUE,1
"3",0,"1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:01,NA,"Lower Ninth","A. aeg",0,2018-03-07,7,3,2018,10,3,34,0.785,0,0,0,100,"y",6,9,0,0,0,0,0,0,"n","y","n",0,0.1,0,0,0,0,0,6,0,0,0,0,"vegetation in tire","2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956269383429,3319.25986703662,TRUE,1
"4",0,"1","St. Maurice / N Miro",29.970221,-90.005592,NA,1899-12-31 00:00:01,"Lower Ninth","A. albo",0,2018-03-07,7,3,2018,10,1,34,1.33,61,63.44,35,36.56,"n",0,3,0,0,0,0,0,0,"n","n","n",0,0.1,1.4,0,0,0,0,11.5,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956368823963,3319.25975867549,TRUE,1
"5",17,"1","St. Maurice / N Miro",29.970221,-90.005592,NA,1899-12-31 00:00:00,"Lower Ninth","A. albo",18,2018-03-07,7,3,2018,10,2,34,1.09,79.67,82.8568,16.33,17.1432,"n",5,4,0,0,0,0,0,0,"n","y","n",0,0.1,0.7,0,0,0,0.5,4,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956175738065,3319.25975362983,TRUE,1
"6",0,"1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:01,1899-12-31 00:00:00,"Lower Ninth","A. albo",0,2018-03-07,7,3,2018,10,3,34,0.785,0,0,0,100,"y",6,9,0,0,0,0,0,0,"n","y","n",0,0.1,0,0,0,0,0,6,0,0,0,0,"vegetation in tire","2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956172840482,3319.25986451379,TRUE,1
"7",0,"1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:00,1899-12-31 00:00:01,"Lower Ninth","Cx. salinarius",0,2018-03-07,7,3,2018,10,1,34,1.33,61,63.44,35,36.56,"n",0,3,0,0,0,0,0,0,"n","n","n",0,0.1,1.4,0,0,0,0,11.5,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956371721548,3319.25964779153,TRUE,1
"8",0,"1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:00,1899-12-31 00:00:00,"Lower Ninth","Cx. salinarius",0,2018-03-07,7,3,2018,10,2,34,1.09,79.67,82.8568,16.33,17.1432,"n",5,4,0,0,0,0,0,0,"n","y","n",0,0.1,0.7,0,0,0,0.5,4,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956178635648,3319.25964274587,TRUE,1
"9",0,"1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:01,1899-12-31 00:00:01,"Lower Ninth","Cx. salinarius",0,2018-03-07,7,3,2018,10,3,34,0.785,0,0,0,100,"y",6,9,0,0,0,0,0,0,"n","y","n",0,0.1,0,0,0,0,0,6,0,0,0,0,"vegetation in tire","2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956365926378,3319.25986955945,TRUE,1
"10",0,"1","St. Maurice / N Miro",29.970221,-90.005592,NA,1899-12-31 00:00:01,"Lower Ninth","Cx. quinq",0,2018-03-07,7,3,2018,10,1,34,1.33,61,63.44,35,36.56,"n",0,3,0,0,0,0,0,0,"n","n","n",0,0.1,1.4,0,0,0,0,11.5,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956465366912,3319.25976119832,TRUE,1
